League Name,Country,Club Name,Short Name,Official News URL,Primary Color Hex,Secondary Color Hex,Current League Position
La Liga,Spain,FC Barcelona,BAR,https://www.fcbarcelona.com/en/news,#004D98,#A50044,1
La Liga,Spain,Real Madrid,RMA,https://www.realmadrid.com/en/news,#FFFFFF,#FEBE10,2
La Liga,Spain,Villarreal CF,VIL,https://villarrealcf.es/en/news/,#FFE600,#005187,3
La Liga,Spain,Atlético Madrid,ATM,https://en.atleticodemadrid.com/news,#CB3524,#272E61,4
La Liga,Spain,Real Betis Balompié,BET,https://www.realbetisbalompie.es/en/news/,#00933C,#FFFFFF,5
La Liga,Spain,RC Celta de Vigo,CEL,https://rccelta.es/en/news/,#A2C4E5,#E30613,6
La Liga,Spain,Getafe CF,GET,https://getafecf.com/news,#004BD5,#FFFFFF,7
La Liga,Spain,Athletic Club,ATH,https://www.athletic-club.eus/en/news,#ED1C24,#FFFFFF,8
La Liga,Spain,Real Sociedad,RSO,https://www.realsociedad.eus/en/news,#0067B1,#FFFFFF,9
La Liga,Spain,CA Osasuna,OSA,https://www.osasuna.es/en/news,#D11241,#1B2B4C,10
La Liga,Spain,Rayo Vallecano,RAY,https://www.rayovallecano.es/noticias,#FFFFFF,#EF1C24,11
La Liga,Spain,Valencia CF,VAL,https://www.valenciacf.com/en/news,#FFFFFF,#000000,12
La Liga,Spain,RCD Espanyol,ESP,https://www.rcdespanyol.com/en/news,#007FC8,#FFFFFF,13
La Liga,Spain,Elche CF,ELC,https://www.elchecf.es/noticias,#FFFFFF,#006400,14
La Liga,Spain,RCD Mallorca,MLL,https://www.rcdmallorca.es/en/news,#E20613,#000000,15
La Liga,Spain,Girona FC,GIR,https://www.gironafc.cat/en/news,#E20613,#FFFFFF,16
La Liga,Spain,Sevilla FC,SEV,https://sevillafc.es/en/news,#FFFFFF,#D11241,17
La Liga,Spain,Deportivo Alavés,ALA,https://www.deportivoalaves.com/en/news,#00458C,#FFFFFF,18
La Liga,Spain,Levante UD,LEV,https://en.levanteud.com/en/news,#B3023D,#00479A,19
La Liga,Spain,Real Oviedo,OVI,https://www.realoviedo.es/en/news,#00397A,#FFFFFF,20
