League Name,Country,Club Name,Short Name,Official News URL,Primary Color Hex,Secondary Color Hex,Current League Position
Ligue 1,France,Paris Saint-Germain F.C.,PSG,https://en.psg.fr/news,#004170,#DA291C,1
Ligue 1,France,RC Lens,RCL,https://www.rclens.fr/fr/news,#FFF200,#E30613,2
Ligue 1,France,Olympique Lyonnais,OL,https://www.ol.fr/en/news,#004691,#DA291C,3
Ligue 1,France,LOSC Lille,LIL,https://www.losc.fr/actualites,#112344,#E20E17,4
Ligue 1,France,Stade Rennais F.C.,REN,https://www.staderennais.com/actualites,#E30613,#000000,5
Ligue 1,France,AS Monaco,ASM,https://www.asmonaco.com/en/news/,#E30613,#FFFFFF,6
Ligue 1,France,Olympique de Marseille,OM,https://www.om.fr/en/news,#FFFFFF,#00AEEF,7
Ligue 1,France,RC Strasbourg Alsace,RCSA,https://www.rcstrasbourgalsace.fr/actualites/,#00479A,#FFFFFF,8
Ligue 1,France,FC Lorient,FCL,https://fclorient.bzh/actualites/,#F36C21,#000000,9
Ligue 1,France,Toulouse FC,TFC,https://www.toulousefc.com/en/news,#5B2562,#FFFFFF,10
Ligue 1,France,Paris FC,PFC,https://parisfc.fr/actualites/,#002F6C,#FFFFFF,11
Ligue 1,France,Stade Brestois 29,SB29,https://www.sb29.bzh/actualites.php,#E30613,#FFFFFF,12
Ligue 1,France,Angers SCO,SCO,https://www.angers-sco.fr/actualites/,#000000,#FFFFFF,13
Ligue 1,France,Le Havre AC,HAC,https://www.hac-foot.com/actualite/,#5CB8E6,#002654,14
Ligue 1,France,OGC Nice,OGCN,https://www.ogcnice.com/en/news,#ED1C24,#000000,15
Ligue 1,France,AJ Auxerre,AJA,https://www.aja.fr/actualites,#FFFFFF,#004182,16
Ligue 1,France,FC Nantes,FCN,https://www.fcnantes.com/actualite/,#FDE100,#00833F,17
Ligue 1,France,FC Metz,FCM,https://www.fcmetz.com/actualites,#8A1538,#FFFFFF,18
